bbsname,cname,ename,sname,shortname
麻雀屬,麻雀屬,Passer sp.,Passer sp.,
山鶺鴒,山鶺鴒,Forest Wagtail,Dendronanthus indicus,"FOWA,DEIN"
灰鶺鴒,灰鶺鴒,Gray Wagtail,Motacilla cinerea,"GRAW,GRWA,MOCI"
西方黃鶺鴒,西方黃鶺鴒,Western Yellow Wagtail,Motacilla flava,"WYWA,MOFL"
西方黃鶺鴒(灰頭),西方黃鶺鴒(灰頭),Western Yellow Wagtail (thunbergi),Motacilla flava thunbergi,
東方黃鶺鴒,東方黃鶺鴒,Eastern Yellow Wagtail,Motacilla tschutschensis,"EYWA,MOTS"
東方黃鶺鴒(白眉),東方黃鶺鴒(白眉),Eastern Yellow Wagtail (Eastern),Motacilla tschutschensis tschutschensis/plexa,
東方黃鶺鴒(黃眉),東方黃鶺鴒(黃眉),Eastern Yellow Wagtail (Green-headed),Motacilla tschutschensis taivana,
東方黃鶺鴒(藍頭),東方黃鶺鴒(藍頭),Eastern Yellow Wagtail (Manchurian),Motacilla tschutschensis macronyx,
黃頭鶺鴒,黃頭鶺鴒,Citrine Wagtail,Motacilla citreola,"CIWA,MOCI"
日本鶺鴒,日本鶺鴒,Japanese Wagtail,Motacilla grandis,"JAWA,MOGR"
白鶺鴒,白鶺鴒,White Wagtail,Motacilla alba,"WHWA,PWWA,MOAL"
白鶺鴒(灰背眼紋),白鶺鴒(灰背眼紋),White Wagtail (ocularis),Motacilla alba ocularis,
白鶺鴒(黑背眼紋),白鶺鴒(黑背眼紋),White Wagtail (Black-backed),Motacilla alba lugens,
白鶺鴒(白面),白鶺鴒(白面),White Wagtail (Chinese),Motacilla alba leucopsis,"PWWA,WHWA,MOAL"
鶺鴒屬(XX鶺鴒),鶺鴒屬,wagtail sp.,Motacilla sp.,
大花鷚,大花鷚,Richard's Pipit,Anthus richardi,"RIPI,ANRI"
田鷚,田鷚,Paddyfield Pipit,Anthus rufulus,"PAPI,ANRU"
布萊氏鷚,布萊氏鷚,Blyth's Pipit,Anthus godlewskii,"BLPI,ANGO"
草地鷚,草地鷚,Meadow Pipit,Anthus pratensis,"MEPI,ANPR"
林鷚,林鷚,Tree Pipit,Anthus trivialis,"TRPI,ANTR"
樹鷚,樹鷚,Olive-backed Pipit,Anthus hodgsoni,"OBPI,ANHO"
林/樹鷚,林/樹鷚,Tree/Olive-backed Pipit,Anthus trivialis/hodgsoni,
白背鷚,白背鷚,Pechora Pipit,Anthus gustavi,"PEPI,ANGU"
