id,fid,cname,ename,sname,shortname
607,79,藍喉太陽鳥,Mrs. Gould's Sunbird,Aethopyga gouldiae,"MGSU,GOSU,AEGO"
608,79,叉尾太陽鳥,Fork-tailed Sunbird,Aethopyga christinae,"FTSU,AECH"
609,80,橙頰梅花雀,Orange-cheeked Waxbill,Estrilda melpoda,"OCHW,OCWA,ESME"
610,80,白喉文鳥,Indian Silverbill,Euodice malabarica,"INSI,EUMA"
611,80,白腰文鳥,White-rumped Munia,Lonchura striata,"WRMU,LOST"
612,80,斑文鳥,Scaly-breasted Munia,Lonchura punctulata,"SBMU,LOPU"
613,80,黑頭文鳥,Chestnut Munia,Lonchura atricapilla,"CHMU,LOAT"
614,81,岩鷚,Alpine Accentor,Prunella collaris,"ALAC,PRCO"
615,81,棕眉山岩鷚,Siberian Accentor,Prunella montanella,"SIAC,PRMO"
616,82,家麻雀,House Sparrow,Passer domesticus,"HOSP,PADO"
617,82,山麻雀,Russet Sparrow,Passer cinnamomeus,"RUSP,PACI"
618,82,麻雀,Eurasian Tree Sparrow,Passer montanus,"ETSP,PAMO"
619,83,山鶺鴒,Forest Wagtail,Dendronanthus indicus,"FOWA,DEIN"
620,83,灰鶺鴒,Gray Wagtail,Motacilla cinerea,"GRAW,GRWA,MOCI"
621,83,西方黃鶺鴒,Western Yellow Wagtail,Motacilla flava,"WYWA,MOFL"
622,83,東方黃鶺鴒,Eastern Yellow Wagtail,Motacilla tschutschensis,"EYWA,MOTS"
623,83,黃頭鶺鴒,Citrine Wagtail,Motacilla citreola,"CIWA,MOCI"
624,83,日本鶺鴒,Japanese Wagtail,Motacilla grandis,"JAWA,MOGR"
625,83,白鶺鴒,White Wagtail,Motacilla alba,"WHWA,PWWA,MOAL"
626,83,大花鷚,Richard's Pipit,Anthus richardi,"RIPI,ANRI"
627,83,稻田鷚,Paddyfield Pipit,Anthus rufulus,"PAPI,ANRU"
628,83,布萊氏鷚,Blyth's Pipit,Anthus godlewskii,"BLPI,ANGO"
629,83,草地鷚,Meadow Pipit,Anthus pratensis,"MEPI,ANPR"
630,83,粉紅胸鷚,Rosy Pipit,Anthus roseatus,"ROPI,ANRO"
631,83,林鷚,Tree Pipit,Anthus trivialis,"TRPI,ANTR"
632,83,樹鷚,Olive-backed Pipit,Anthus hodgsoni,"OBPI,ANHO"
633,83,白背鷚,Pechora Pipit,Anthus gustavi,"PEPI,ANGU"
634,83,赤喉鷚,Red-throated Pipit,Anthus cervinus,"RTPI,ANCE"
635,83,水鷚,Water Pipit,Anthus spinoletta,"WAPI,ANSP"
636,83,黃腹鷚,American Pipit,Anthus rubescens,"AMPI,BBPI,ANRU"
637,84,花雀,Brambling,Fringilla montifringilla,"BRAM,FRMO"
638,84,臘嘴雀,Hawfinch,Coccothraustes coccothraustes,"HAWF,COCO"
639,84,小桑鳲,Yellow-billed Grosbeak,Eophona migratoria,"YBGR,CHGR,EOMI"
640,84,桑鳲,Japanese Grosbeak,Eophona personata,"JAGR,EOPE"
641,84,普通朱雀,Common Rosefinch,Carpodacus erythrinus,"CORO,CAER"
642,84,台灣朱雀,Taiwan Rosefinch,Carpodacus formosanus,"TARO,CAFO"
643,84,北朱雀,Pallas's Rosefinch,Carpodacus roseus,"PARO,CARO"
644,84,褐鷽,Brown Bullfinch,Pyrrhula nipalensis,"BRBU,PYNI"
645,84,灰鷽,Gray-headed Bullfinch,Pyrrhula erythaca,"GHBU,PYER"
646,84,歐亞鷽,Eurasian Bullfinch,Pyrrhula pyrrhula,"EUBU,PYPY"
647,84,金翅雀,Oriental Greenfinch,Chloris sinica,"ORGR,GCGR,CHSI"
648,84,赤胸朱頂雀,Eurasian Linnet,Linaria cannabina,"EULI,LICA"
649,84,普通朱頂雀,Common Redpoll,Acanthis flammea,"CORE,ACFL"
650,84,紅交嘴雀,Red Crossbill,Loxia curvirostra,"RECR,LOCU"
651,84,黃雀,Eurasian Siskin,Spinus spinus,"EUSI,SPSP"
652,85,鐵爪鵐,Lapland Longspur,Calcarius lapponicus,"LALO,LABU,CALA"
653,85,雪鵐,Snow Bunting,Plectrophenax nivalis,"SNBU,PLNI"
654,86,冠鵐,Crested Bunting,Emberiza lathami,"CRBU,EMLA"
655,86,黑頭鵐,Black-headed Bunting,Emberiza melanocephala,"BHBU,EMME"
656,86,褐頭鵐,Red-headed Bunting,Emberiza bruniceps,"RHBU,EMBR"
657,86,赤胸鵐,Chestnut-eared Bunting,Emberiza fucata,"CEBU,EMFU"
658,86,草鵐,Meadow Bunting,Emberiza cioides,"MEBU,EMCI"
659,86,白頂鵐,White-capped Bunting,Emberiza stewarti,"WCBU,EMST"
660,86,白頭鵐,Pine Bunting,Emberiza leucocephalos,"PIBU,EMLE"
661,86,黃喉鵐,Yellow-throated Bunting,Emberiza elegans,"YTBU,EMEL"
662,86,紅頸葦鵐,Ochre-rumped Bunting,Emberiza yessoensis,"JRBU,ORBU,EMYE"
663,86,葦鵐,Pallas's Bunting,Emberiza pallasi,"PALB,PRBU,PABU,EMPA"
664,86,蘆鵐,Reed Bunting,Emberiza schoeniclus,"REBU,CRBU,EMSC"
665,86,金鵐,Yellow-breasted Bunting,Emberiza aureola,"YBSB,YBBU,EMAU"
666,86,小鵐,Little Bunting,Emberiza pusilla,"LIBU,EMPU"
667,86,田鵐,Rustic Bunting,Emberiza rustica,"RUBU,EMRU"
668,86,野鵐,Yellow Bunting,Emberiza sulphurata,"YEBU,EMSU"
669,86,黑臉鵐,Black-faced Bunting,Emberiza spodocephala,"BFBU,EMSP"
670,86,鏽鵐,Chestnut Bunting,Emberiza rutila,"CHBU,EMRU"
671,86,黃眉鵐,Yellow-browed Bunting,Emberiza chrysophrys,"YBWB,YBBU,EMCH"
672,86,白眉鵐,Tristram's Bunting,Emberiza tristrami,"TRBU,EMTR"
673,86,灰鵐,Gray Bunting,Emberiza variabilis,"GRBU,EMVA"
674,87,稀樹草鵐,Savannah Sparrow,Passerculus sandwichensis,"SASP,PASA"
675,1,小加拿大雁,Cackling Goose,Branta hutchinsii ,"CAGO,BH"
676,88,大紅鸛,Greater Flamingo,Phoenicopterus roseus,"GRFL,PHRO"
677,5,喜馬拉雅中杜鵑,Himalayan Cuckoo,Cuculus saturatus,"HICU,CUSA"
678,7,灰腰金絲燕,Gray-rumped Swiftlet,Collocalia marginata,"GRSW,COMA"
679,7,傑曼氏金絲燕,Germain's Swiftlet,Aerodramus germani,"GESW,AEGE"
680,24,日本叉尾海燕,Matsudaira's Storm-Petrel,Oceanodroma matsudairae,"MSPE,OCMA"
681,25,克島圓尾穴鳥,Kermadec Petrel,Pterodroma neglecta,"KEPE,PTNE"
682,34,褐耳鷹,Shikra,Accipiter badius,"SHIK,ACBA"
683,36,鵰鴞,Eurasian Eagle-Owl,Bubo bubo,"EEOW,EUEO,BUBU"
684,43,黃爪隼,Lesser Kestrel,Falco naumanni,"LEKE,FANA"
685,89,白胸燕鵙,White-breasted Woodswallow,Artamus leucorynchus,"WBWO,ARLE"
686,55,蒙古百靈,Mongolian Lark,Melanocorypha mongolica,"MOLA,MEMO"
687,75,褐頭鶇,Gray-sided Thrush,Turdus feae,"GSTH,TUFE"
688,84,酒紅朱雀,Vinaceous Rosefinch,Carpodacus vinaceus,"VIRO,CAVI"
689,4,斑馬鳩,Zebra Dove,Geopelia striata,"ZEBD,ZEDO,GEST"
690,90,葵花鳳頭鸚鵡,Sulphur-crested Cockatoo,Cacatua galerita,"SCCO,CAGA"
691,91,紅領綠鸚鵡,Rose-ringed Parakeet,Psittacula krameri,"RRPA,RNPA,PSKR"
692,61,紅耳鵯,Red-whiskered Bulbul,Pycnonotus jocosus,"RWBU,PYJO"
693,69,白頰噪眉,White-browed Laughingthrush,Ianthocincla sannio,"WBLA,IASA"
694,74,葡萄胸椋鳥,Vinous-breasted Starling,Acridotheres burmannicus,"VBST,ACBU"
695,92,黑頭織雀,Village Weaver,Ploceus cucullatus,"VIWE,PLCU"
696,80,橫斑梅花雀,Common Waxbill,Estrilda astrild,"COMW,COWA,ESAS"
